70273 PANC Anchorage Observations at 12Z 23 Sep 2024
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0   -162                                                               
  974.0     40    7.8    2.9     71   4.86    315      8  283.1  296.9  283.9
  971.0     67    8.3    2.1     65   4.61      0     11  283.8  297.0  284.6
  969.0     84    8.6    1.6     61   4.45      1     12  284.3  297.0  285.1
  935.0    390    6.0    1.2     71   4.48     27     28  284.6  297.4  285.3
  925.0    482    7.4   -1.6     53   3.69     35     33  286.9  297.7  287.5
  923.0    500    7.4   -1.6     53   3.70     35     33  287.1  297.9  287.7
  920.0    527    7.3   -1.7     53   3.68     35     34  287.2  297.9  287.8
  888.0    817    5.8   -3.2     52   3.42     32     30  288.6  298.7  289.2
  881.0    882    5.4   -1.6     61   3.88     32     29  288.8  300.2  289.5
  864.0   1040    4.0   -1.9     65   3.86     30     27  289.0  300.3  289.6
  850.0   1173    2.8   -2.2     70   3.85     40     27  289.1  300.4  289.7
  837.0   1298    1.8   -2.6     73   3.79     49     24  289.3  300.5  289.9
  832.0   1346    2.2   -2.8     70   3.76     52     22  290.2  301.3  290.9
  792.0   1739   -1.1   -3.7     83   3.70     80     12  290.8  301.8  291.4
  770.0   1964   -3.0   -4.2     92   3.67    115     21  291.1  302.0  291.8
  755.0   2121   -4.3   -4.5     99   3.64    122     29  291.3  302.2  292.0
  744.0   2237   -4.7   -5.8     92   3.35    127     35  292.1  302.2  292.7
  738.0   2301   -4.8   -6.2     90   3.26    130     38  292.6  302.5  293.2
  736.0   2322   -4.9   -6.4     89   3.23    131     37  292.8  302.6  293.4
  719.0   2507   -3.5   -6.0     83   3.41    137     26  296.3  306.7  296.9
  700.0   2718   -4.7   -6.4     88   3.40    145     13  297.2  307.7  297.9
  698.0   2740   -4.9   -6.5     88   3.38    145     12  297.3  307.6  297.9
  690.0   2831   -5.6   -7.0     90   3.28    135     10  297.5  307.6  298.1
  676.0   2991   -6.9   -7.9     92   3.13    105      6  297.8  307.4  298.3
  657.0   3214   -8.7   -9.2     96   2.91     58     12  298.2  307.2  298.7
  652.0   3273   -8.9  -10.1     92   2.74     45     14  298.5  307.1  299.0
  645.0   3357   -9.3  -11.3     85   2.51     38     13  299.1  306.9  299.5
  642.0   3393   -9.7  -11.7     85   2.44     35     13  299.0  306.7  299.4
  631.0   3526  -10.9  -12.4     89   2.35     24     12  299.1  306.5  299.6
  627.0   3575  -11.1  -12.8     87   2.28     20     12  299.5  306.7  299.9
  621.0   3649  -11.3  -13.5     84   2.18     28     12  300.0  307.0  300.4
  615.0   3724  -11.3  -16.3     67   1.75     36     11  300.9  306.5  301.2
  609.0   3799  -11.9  -15.4     75   1.90     44     11  301.0  307.1  301.4
  604.0   3862  -12.1  -16.1     72   1.81     51     11  301.5  307.4  301.8
  594.0   3990  -12.8  -17.3     69   1.67     65     10  302.1  307.5  302.4
  593.0   4003  -12.9  -17.4     69   1.65     65     10  302.2  307.5  302.5
  565.0   4370  -16.1  -19.3     76   1.48     78     13  302.6  307.4  302.9
  551.0   4558  -17.6  -19.3     86   1.52     85     14  303.0  308.0  303.3
  546.0   4627  -18.1  -19.3     90   1.53     94     15  303.2  308.2  303.5
  531.0   4834  -19.2  -20.8     87   1.38    120     18  304.2  308.8  304.5
  520.0   4990  -20.1  -22.0     85   1.27    117     21  305.0  309.3  305.3
  515.0   5062  -20.6  -22.6     85   1.22    115     23  305.2  309.3  305.4
  511.0   5119  -21.1  -23.0     85   1.18    118     24  305.4  309.3  305.6
  500.0   5280  -22.1  -22.5     97   1.26    125     26  306.0  310.3  306.3
  486.0   5488  -23.5  -25.1     86   1.03    135     27  306.8  310.3  307.0
  482.0   5548  -23.9  -25.9     84   0.97    137     26  307.0  310.4  307.2
  475.0   5654  -24.7  -26.5     85   0.93    141     24  307.3  310.5  307.5
  468.0   5762  -25.3  -28.1     78   0.82    145     22  307.9  310.7  308.0
  457.0   5934  -26.3  -30.6     67   0.66    137     22  308.7  311.1  308.9
  448.0   6077  -27.5  -30.7     74   0.67    130     22  309.0  311.3  309.1
  443.0   6158  -27.9  -32.4     65   0.57    126     22  309.5  311.5  309.6
  442.0   6174  -27.9  -32.9     62   0.55    125     22  309.7  311.6  309.8
  412.0   6673  -32.4  -36.1     70   0.43    135     14  310.2  311.7  310.3
  410.0   6707  -32.7  -36.3     70   0.42    136     15  310.2  311.7  310.3
  408.0   6741  -33.1  -36.8     69   0.40    137     16  310.1  311.6  310.2
  406.0   6776  -33.3  -38.3     61   0.35    137     16  310.3  311.6  310.4
  401.0   6863  -34.1  -39.1     60   0.32    140     19  310.4  311.6  310.4
  400.0   6880  -34.3  -39.3     60   0.32    140     19  310.3  311.5  310.4
  380.0   7236  -37.4  -41.5     65   0.26    145     16  310.8  311.8  310.9
  377.0   7291  -37.9  -41.9     66   0.26    149     16  310.9  311.8  310.9
  366.0   7495  -39.7  -45.7     53   0.18    165     17  311.1  311.8  311.1
  364.0   7532  -40.1  -46.1     53   0.17    168     17  311.1  311.7  311.1
  361.0   7589  -40.3  -48.3     42   0.13    173     17  311.5  312.1  311.6
  353.0   7740  -41.8  -48.8     46   0.13    185     18  311.5  312.0  311.6
  345.0   7896  -43.3  -49.3     51   0.12    183     19  311.5  312.0  311.6
  330.0   8193  -46.1  -49.4     69   0.13    180     22  311.7  312.2  311.7
  318.0   8439  -48.3  -52.9     59   0.09    177     24  311.9  312.3  311.9
  314.0   8522  -49.1  -52.8     65   0.09    176     25  311.9  312.3  312.0
  312.0   8564  -49.4  -53.4     63   0.09    175     25  312.1  312.4  312.1
  306.0   8691  -50.3  -55.3     55   0.07    180     21  312.6  312.9  312.6
  304.0   8734  -50.3  -56.3     49   0.06    182     19  313.2  313.4  313.2
  300.0   8820  -50.7  -55.5     57   0.07    185     16  313.8  314.1  313.8
  298.0   8863  -51.1  -55.1     62   0.07    185     15  313.8  314.1  313.8
  296.0   8907  -51.5  -54.7     68   0.08    178     15  313.9  314.2  313.9
  295.0   8929  -51.7  -55.3     65   0.07    175     15  313.9  314.2  313.9
  293.0   8973  -52.1  -56.5     59   0.06    168     16  313.9  314.2  313.9
  286.0   9128  -53.0  -55.8     71   0.07    145     20  314.9  315.2  314.9
  280.0   9264  -53.7  -55.2     83   0.08    149     27  315.7  316.0  315.7
  279.0   9287  -53.9  -55.8     80   0.07    150     28  315.8  316.0  315.8
  278.0   9310  -54.1  -56.3     77   0.07    150     27  315.8  316.1  315.8
  274.0   9403  -52.9  -60.9     37   0.04    158     21  318.8  319.0  318.8
  273.0   9427  -52.8  -61.4     34   0.04    160     20  319.4  319.5  319.4
  266.0   9594  -51.8  -65.2     19   0.02    150     22  323.1  323.2  323.1
  265.0   9618  -51.7  -65.7     17   0.02    156     21  323.6  323.7  323.6
  260.0   9743  -47.5  -74.5      3   0.01    185     14  331.6  331.6  331.6
  250.0  10000  -49.1  -73.1      4   0.01    155      9  332.9  333.0  332.9
  248.0  10053  -49.4  -74.0      4   0.01    140     11  333.3  333.3  333.3
  247.0  10079  -49.5  -74.5      4   0.01    144     12  333.5  333.5  333.5
  239.0  10297  -47.1  -75.1      3   0.01    175     19  340.2  340.2  340.2
  231.0  10523  -44.7  -75.7      2   0.01    180     27  347.2  347.3  347.2
  221.0  10820  -43.8  -76.3      2   0.01    190     20  353.1  353.1  353.1
  218.0  10912  -43.5  -76.5      1   0.01    202     20  354.9  354.9  354.9
  215.0  11005  -43.8  -76.8      1   0.01    215     19  355.8  355.8  355.8
  208.0  11227  -44.7  -77.7      1   0.00    205     16  357.9  357.9  357.9
  206.0  11292  -44.9  -77.9      1   0.00    198     18  358.5  358.5  358.5
  205.0  11325  -44.9  -77.9      1   0.00    195     19  359.0  359.0  359.0
  200.0  11490  -44.7  -77.7      1   0.00    200     23  361.8  361.9  361.8
  188.0  11905  -44.1  -78.1      1   0.00    208     26  369.2  369.3  369.2
  185.0  12013  -44.1  -78.2      1   0.00    210     27  370.9  370.9  370.9
  163.0  12862  -44.5  -79.1      1   0.00    195     30  384.0  384.0  384.0
  150.0  13420  -44.7  -79.7      1   0.00    210     25  392.8  392.9  392.8
  137.0  14023  -45.7  -79.9      1   0.00    225     25  401.3  401.3  401.3
  135.0  14121  -45.9  -79.9      1   0.01    221     22  402.7  402.7  402.7
